file,literal_P,literal_R,literal_F1,fuzzy_P,fuzzy_R,fuzzy_F1,cont_P,cont_R,cont_F1,graph_P,graph_R,graph_F1,motif_dist
r1.ttl (chokepoint 0),0.1266,0.1316,0.1290,1.0000,1.0000,1.0000,0.7823,0.8132,0.7974,0.8507,0.7853,0.8167,0.0100
r1.ttl (chokepoint 1),0.1042,0.0901,0.0966,1.0000,0.9279,0.9626,0.7728,0.6684,0.7168,0.8591,0.6232,0.7224,0.1328
r1.ttl (chokepoint 2),0.1042,0.0613,0.0772,1.0000,0.9141,0.9551,0.8107,0.4775,0.6010,0.8814,0.4726,0.6153,0.1404
r2.ttl (chokepoint 0),0.2143,0.1846,0.1983,1.0000,1.0000,1.0000,0.8102,0.6980,0.7499,0.8234,0.7319,0.7750,0.0684
r2.ttl (chokepoint 1),0.1807,0.1364,0.1554,1.0000,0.9091,0.9524,0.8264,0.6236,0.7108,0.8707,0.6288,0.7302,0.0524
r2.ttl (chokepoint 2),0.2159,0.1145,0.1496,1.0000,0.9217,0.9592,0.8446,0.4478,0.5853,0.8855,0.4830,0.6251,0.1152
r3.ttl,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
r4.ttl (chokepoint 0),0.6552,0.7755,0.7103,1.0000,1.0000,1.0000,0.7966,0.9429,0.8636,0.8599,0.9554,0.9051,0.0177
r4.ttl (chokepoint 1),0.3279,0.7018,0.4469,1.0000,1.0000,1.0000,0.4378,0.9370,0.5968,0.5472,0.9120,0.6840,0.1204
r4.ttl (chokepoint 2),0.3285,0.5056,0.3982,1.0000,1.0000,1.0000,0.5623,0.8655,0.6817,0.7873,0.9072,0.8430,0.1380
