file,literal_P,literal_R,literal_F1,fuzzy_P,fuzzy_R,fuzzy_F1,cont_P,cont_R,cont_F1,graph_P,graph_R,graph_F1,motif_dist
r1.ttl (chokepoint 0),0.1286,0.1184,0.1233,0.7714,0.9342,0.8451,0.4973,0.4580,0.4768,0.5067,0.4807,0.4933,0.0110
r1.ttl (chokepoint 1),0.1205,0.0901,0.1031,0.7711,0.8739,0.8193,0.5212,0.3898,0.4460,0.5741,0.4615,0.5117,0.1090
r1.ttl (chokepoint 2),0.1087,0.0613,0.0784,0.8261,0.9264,0.8734,0.5424,0.3061,0.3914,0.5806,0.3787,0.4584,0.1871
r2.ttl (chokepoint 0),0.1127,0.1231,0.1176,0.5915,0.7077,0.6444,0.4172,0.4558,0.4357,0.4581,0.4581,0.4581,0.0115
r2.ttl (chokepoint 1),0.1486,0.1000,0.1196,0.6081,0.5636,0.5850,0.4698,0.3160,0.3779,0.4692,0.3128,0.3754,0.1502
r2.ttl (chokepoint 2),0.1486,0.0663,0.0917,0.7973,0.6145,0.6940,0.4999,0.2228,0.3083,0.5007,0.2341,0.3190,0.2600
r3.ttl (chokepoint 0),0.2381,0.4545,0.3125,1.0000,1.0000,1.0000,0.4240,0.8094,0.5564,0.4800,0.8159,0.6044,0.3167
r3.ttl (chokepoint 1),0.1562,0.4545,0.2326,1.0000,1.0000,1.0000,0.2788,0.8110,0.4150,0.3733,0.7839,0.5057,0.2557
r3.ttl (chokepoint 2),0.1579,0.2222,0.1846,1.0000,0.7037,0.8261,0.4645,0.6538,0.5431,0.7839,0.6331,0.7005,0.5130
r4.ttl (chokepoint 0),0.0758,0.1020,0.0870,0.5152,0.7143,0.5986,0.3484,0.4692,0.3999,0.3838,0.4834,0.4279,0.0413
r4.ttl (chokepoint 1),0.1029,0.1228,0.1120,0.5441,0.7018,0.6130,0.3858,0.4603,0.4198,0.4104,0.4651,0.4361,0.1149
r4.ttl (chokepoint 2),0.1000,0.0787,0.0881,0.5714,0.6966,0.6278,0.4650,0.3657,0.4094,0.4899,0.3834,0.4302,0.3053
