file,literal_P,literal_R,literal_F1,fuzzy_P,fuzzy_R,fuzzy_F1,cont_P,cont_R,cont_F1,graph_P,graph_R,graph_F1,motif_dist
r1.ttl (chokepoint 0),0.1081,0.1053,0.1067,0.7162,0.9079,0.8007,0.4623,0.4501,0.4561,0.4878,0.4127,0.4471,0.0352
r1.ttl (chokepoint 1),0.0842,0.0721,0.0777,0.7789,0.9640,0.8616,0.5296,0.4533,0.4885,0.5577,0.4374,0.4902,0.0325
r1.ttl (chokepoint 2),0.0800,0.0491,0.0608,0.8400,0.9387,0.8866,0.5462,0.3351,0.4154,0.5855,0.3564,0.4430,0.1431
r2.ttl (chokepoint 0),0.1127,0.1231,0.1176,0.5915,0.8462,0.6963,0.4131,0.4513,0.4313,0.4530,0.4530,0.4530,0.0268
r2.ttl (chokepoint 1),0.1146,0.1000,0.1068,0.6354,0.6455,0.6404,0.4309,0.3761,0.4016,0.4779,0.3275,0.3886,0.1536
r2.ttl (chokepoint 2),0.1146,0.0663,0.0840,0.8333,0.6867,0.7530,0.4882,0.2823,0.3578,0.5130,0.2465,0.3330,0.1953
r3.ttl (chokepoint 0),0.0667,0.0909,0.0769,0.6000,0.1818,0.2791,0.2345,0.3198,0.2706,0.2368,0.3316,0.2763,0.2471
r3.ttl (chokepoint 1),0.0286,0.0909,0.0435,0.6000,0.4545,0.5172,0.1343,0.4272,0.2043,0.1846,0.4614,0.2637,0.2348
r3.ttl (chokepoint 2),0.1324,0.3333,0.1895,0.8529,0.7407,0.7929,0.2500,0.6296,0.3579,0.4147,0.6380,0.5026,0.3352
r4.ttl (chokepoint 0),0.1071,0.1224,0.1143,1.0000,1.0000,1.0000,0.6644,0.7593,0.7087,0.7383,0.7930,0.7647,0.0063
r4.ttl (chokepoint 1),0.1096,0.1404,0.1231,1.0000,0.9825,0.9912,0.5880,0.7530,0.6603,0.7060,0.8237,0.7603,0.0565
r4.ttl (chokepoint 2),0.0899,0.0899,0.0899,1.0000,1.0000,1.0000,0.7184,0.7184,0.7184,0.8168,0.7635,0.7892,0.1124
