file,literal_P,literal_R,literal_F1,fuzzy_P,fuzzy_R,fuzzy_F1,cont_P,cont_R,cont_F1,graph_P,graph_R,graph_F1,motif_dist
r1.ttl (chokepoint 0),0.0789,0.0789,0.0789,1.0000,1.0000,1.0000,0.7963,0.7963,0.7963,0.7554,0.8135,0.7834,0.0620
r1.ttl (chokepoint 1),0.0842,0.0721,0.0777,1.0000,1.0000,1.0000,0.8219,0.7034,0.7580,0.8501,0.8167,0.8331,0.0956
r1.ttl (chokepoint 2),0.0896,0.0736,0.0808,1.0000,1.0000,1.0000,0.8103,0.6661,0.7311,0.8768,0.7116,0.7856,0.1840
r2.ttl (chokepoint 0),0.1127,0.1231,0.1176,1.0000,1.0000,1.0000,0.7066,0.7718,0.7377,0.7822,0.7605,0.7712,0.0814
r2.ttl (chokepoint 1),0.1158,0.1000,0.1073,1.0000,0.9909,0.9954,0.7803,0.6739,0.7232,0.8439,0.6876,0.7578,0.1397
r2.ttl (chokepoint 2),0.0948,0.0663,0.0780,1.0000,0.9458,0.9721,0.8078,0.5645,0.6646,0.8777,0.5244,0.6565,0.1858
r3.ttl,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
r4.ttl (chokepoint 0),0.1818,0.2041,0.1923,1.0000,1.0000,1.0000,0.7174,0.8052,0.7588,0.6991,0.8285,0.7583,0.0628
r4.ttl (chokepoint 1),0.1379,0.2807,0.1850,1.0000,1.0000,1.0000,0.4057,0.8257,0.5441,0.4863,0.8592,0.6211,0.0398
r4.ttl (chokepoint 2),0.1606,0.2472,0.1947,1.0000,1.0000,1.0000,0.5144,0.7919,0.6237,0.6545,0.8680,0.7463,0.1305
