file,literal_P,literal_R,literal_F1,fuzzy_P,fuzzy_R,fuzzy_F1,cont_P,cont_R,cont_F1,graph_P,graph_R,graph_F1,motif_dist
r1.ttl (chokepoint 0),0.3704,0.3947,0.3822,1.0000,1.0000,1.0000,0.8303,0.8850,0.8568,0.9175,0.8705,0.8934,0.0138
r1.ttl (chokepoint 1),0.3226,0.2703,0.2941,1.0000,0.9279,0.9626,0.8519,0.7138,0.7768,0.9254,0.7621,0.8358,0.1189
r1.ttl (chokepoint 2),0.2857,0.1840,0.2239,1.0000,0.9509,0.9748,0.8446,0.5440,0.6618,0.9167,0.6244,0.7428,0.1845
r2.ttl (chokepoint 0),0.2361,0.2615,0.2482,1.0000,1.0000,1.0000,0.7660,0.8485,0.8052,0.8605,0.8844,0.8722,0.0186
r2.ttl (chokepoint 1),0.2381,0.1818,0.2062,1.0000,0.9091,0.9524,0.8178,0.6245,0.7082,0.9000,0.6833,0.7768,0.1416
r2.ttl (chokepoint 2),0.2174,0.1205,0.1550,1.0000,0.9217,0.9592,0.8180,0.4534,0.5834,0.8910,0.5207,0.6573,0.2027
r3.ttl (chokepoint 0),0.6250,0.9091,0.7407,1.0000,1.0000,1.0000,0.6813,0.9910,0.8075,0.8172,0.9806,0.8914,0.1500
r3.ttl (chokepoint 1),0.6250,0.9091,0.7407,1.0000,1.0000,1.0000,0.6813,0.9910,0.8075,0.8172,0.9806,0.8914,0.1500
r3.ttl (chokepoint 2),0.6786,0.7037,0.6909,0.9643,1.0000,0.9818,0.8433,0.8745,0.8586,0.9659,0.8173,0.8854,0.2060
r4.ttl (chokepoint 0),0.5714,0.7347,0.6429,1.0000,1.0000,1.0000,0.7331,0.9426,0.8248,0.7821,0.9560,0.8604,0.0233
r4.ttl (chokepoint 1),0.4935,0.6667,0.5672,1.0000,0.9825,0.9912,0.6729,0.9091,0.7734,0.7423,0.9402,0.8296,0.0763
r4.ttl (chokepoint 2),0.4043,0.4270,0.4153,1.0000,0.9888,0.9944,0.7764,0.8200,0.7976,0.8553,0.8738,0.8645,0.1942
