file,literal_P,literal_R,literal_F1,fuzzy_P,fuzzy_R,fuzzy_F1,cont_P,cont_R,cont_F1,graph_P,graph_R,graph_F1,motif_dist
r1.ttl (chokepoint 0),0.3735,0.4079,0.3899,0.9277,0.9474,0.9374,0.5046,0.5511,0.5268,0.5520,0.5520,0.5520,0.0043
r1.ttl (chokepoint 1),0.1897,0.2973,0.2316,0.9368,1.0000,0.9674,0.4037,0.6329,0.4930,0.5409,0.6787,0.6020,0.0150
r1.ttl (chokepoint 2),0.1844,0.2025,0.1930,0.9609,0.9632,0.9620,0.5267,0.5784,0.5514,0.6617,0.6329,0.6470,0.1253
r2.ttl (chokepoint 0),0.2000,0.2923,0.2375,0.7789,0.9846,0.8698,0.3561,0.5204,0.4228,0.4434,0.5420,0.4878,0.0467
r2.ttl (chokepoint 1),0.1429,0.2000,0.1667,0.8961,0.9727,0.9328,0.4279,0.5990,0.4992,0.5662,0.6291,0.5960,0.0698
r2.ttl (chokepoint 2),0.1294,0.1325,0.1310,0.9941,0.9458,0.9693,0.5307,0.5435,0.5370,0.6204,0.5479,0.5819,0.1672
r3.ttl,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
r4.ttl (chokepoint 0),0.5161,0.6531,0.5766,0.9194,0.9796,0.9485,0.4815,0.6092,0.5379,0.5217,0.6376,0.5739,0.0277
r4.ttl (chokepoint 1),0.2698,0.5965,0.3716,0.8810,0.9825,0.9289,0.2844,0.6288,0.3917,0.4099,0.7241,0.5234,0.0846
r4.ttl (chokepoint 2),0.2349,0.3933,0.2941,0.9396,0.9551,0.9473,0.3607,0.6040,0.4517,0.5152,0.7056,0.5955,0.1145
