file,literal_P,literal_R,literal_F1,fuzzy_P,fuzzy_R,fuzzy_F1,cont_P,cont_R,cont_F1,graph_P,graph_R,graph_F1,motif_dist
r1.xml (chokepoint 0),0.1207,0.0921,0.1045,0.0000,0.0000,0.0000,0.1664,0.1270,0.1440,0.1633,0.1256,0.1420,0.0486
r1.xml (chokepoint 1),0.0989,0.0811,0.0891,0.1538,0.1712,0.1620,0.2443,0.2003,0.2201,0.3009,0.2360,0.2645,0.0542
r1.xml (chokepoint 2),0.0978,0.0552,0.0706,0.1630,0.8834,0.2753,0.2587,0.1460,0.1867,0.3310,0.2015,0.2505,0.1564
r2.xml (chokepoint 0),0.1500,0.1846,0.1655,0.0125,0.0462,0.0197,0.1603,0.1972,0.1768,0.1763,0.1959,0.1856,0.0240
r2.xml (chokepoint 1),0.1596,0.1364,0.1471,0.0745,0.4182,0.1264,0.2340,0.2000,0.2157,0.2897,0.2414,0.2633,0.1480
r2.xml (chokepoint 2),0.1402,0.0904,0.1099,0.0748,0.3855,0.1252,0.2501,0.1612,0.1960,0.2836,0.1879,0.2260,0.2081
r3.xml (chokepoint 0),0.2308,0.2727,0.2500,0.0000,0.0000,0.0000,0.1324,0.1565,0.1435,0.1699,0.1699,0.1699,0.1172
r3.xml (chokepoint 1),0.1034,0.2727,0.1500,0.1034,0.2727,0.1500,0.1249,0.3294,0.1812,0.1969,0.3740,0.2580,0.1439
r3.xml (chokepoint 2),0.2105,0.4286,0.2824,0.2807,0.7857,0.4136,0.2700,0.5497,0.3621,0.4095,0.6300,0.4964,0.2723
r4.xml (chokepoint 0),0.0877,0.1020,0.0943,0.0000,0.0000,0.0000,0.1378,0.1603,0.1482,0.1326,0.1523,0.1418,0.0395
r4.xml (chokepoint 1),0.0909,0.1228,0.1045,0.0519,0.0877,0.0653,0.1669,0.2255,0.1918,0.2047,0.2730,0.2340,0.0719
r4.xml (chokepoint 2),0.0778,0.0787,0.0782,0.1196,0.2022,0.1503,0.2114,0.2185,0.2149,0.2631,0.2631,0.2631,0.1910
